BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%navy%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |    sum_profit    
---------------------------+--------+------------------
 ALGERIA                   |   1998 |  2728471942.5097
 ALGERIA                   |   1997 | 4692871381.40728
 ALGERIA                   |   1996 | 4670173657.10866
 ALGERIA                   |   1995 | 4669310978.07936
 ALGERIA                   |   1994 | 4657881563.84543
 ALGERIA                   |   1993 | 4657710859.82598
 ALGERIA                   |   1992 | 4643998602.99255
 ARGENTINA                 |   1998 |  2719167097.9977
 ARGENTINA                 |   1997 | 4631989730.14589
 ARGENTINA                 |   1996 | 4660936830.37449
 ARGENTINA                 |   1995 | 4616511583.33036
 ARGENTINA                 |   1994 | 4661161935.62562
 ARGENTINA                 |   1993 | 4636224967.22342
 ARGENTINA                 |   1992 | 4635575411.06486
 BRAZIL                    |   1998 | 2749105207.28788
 BRAZIL                    |   1997 | 4689589891.30503
 BRAZIL                    |   1996 | 4700300686.15975
 BRAZIL                    |   1995 | 4666595465.89482
 BRAZIL                    |   1994 | 4646164071.00669
 BRAZIL                    |   1993 | 4674622523.30089
 BRAZIL                    |   1992 | 4673751557.55446
 CANADA                    |   1998 | 2726491367.71777
 CANADA                    |   1997 |  4674828964.0018
 CANADA                    |   1996 |  4708907032.0114
 CANADA                    |   1995 | 4689401534.52721
 CANADA                    |   1994 | 4682741439.77329
 CANADA                    |   1993 | 4661278694.03445
 CANADA                    |   1992 | 4710560617.67276
 CHINA                     |   1998 | 2738915685.04237
 CHINA                     |   1997 | 4666055595.52158
 CHINA                     |   1996 | 4667098970.14123
 CHINA                     |   1995 | 4651137806.52103
 CHINA                     |   1994 | 4651843712.59661
 CHINA                     |   1993 | 4672359957.70608
 CHINA                     |   1992 | 4677643027.98314
 EGYPT                     |   1998 | 2723662663.88027
 EGYPT                     |   1997 | 4662466397.99678
 EGYPT                     |   1996 | 4674883981.40462
 EGYPT                     |   1995 | 4667945769.67608
 EGYPT                     |   1994 | 4639124545.31693
 EGYPT                     |   1993 | 4672862554.81896
 EGYPT                     |   1992 | 4684835207.57973
 ETHIOPIA                  |   1998 | 2782598904.98627
 ETHIOPIA                  |   1997 |  4734074783.2247
